SPECIES_CODE,YEAR,SUBAREA,SEX,AGE,AGEPOP,MEANLEN,SDEV
10210,1988,1,9,11,189287722,292.42,30.03
10210,1988,1,9,12,143667271,318.07,20.35
10210,1988,1,9,13,184419585,308.57,21.27
10210,1988,1,9,14,331632861,308.03,22.49
10210,1988,1,9,15,212007885,315.21,16.32
10210,1988,1,9,16,102008317,322.84,18.8
10210,1988,1,9,17,137053641,315.54,21.24
10210,1988,1,9,18,100859086,314.14,21.75
10210,1988,1,9,19,114671258,322.62,26.35
10210,1988,1,9,20,113921972,318.29,25.12
10210,1988,1,9,21,96639503,324.17,13.57
10210,1988,1,9,22,90715467,331.43,21.66
10210,1988,1,9,23,17833250,352.09,12.91
10210,1988,1,9,24,11439140,378.54,18.79
10210,1988,1,9,25,2748384,360,0
10210,1988,1,9,27,1283483,380,0
10210,1988,2,1,-9,4582807,140.16,84.36
10210,1988,2,1,4,2523833,120,0
10210,1988,2,1,5,179570740,161.79,23.66
10210,1988,2,1,6,21136811,184.03,16.59
10210,1988,2,1,7,440704451,182.28,20.99
10210,1988,2,1,8,89304266,213,20.79
10210,1988,2,1,9,28920355,249.31,28.72
10210,1988,2,1,10,4307939,277.83,19.64
10210,1988,2,1,11,10761066,289.43,26.43
10210,1988,2,1,12,1580969,300,0
10210,1988,2,1,13,10624792,308,21.12
10210,1988,2,1,14,20998268,309.86,23.1
10210,1988,2,1,15,15399597,317.37,14.26
10210,1988,2,1,16,1580969,300,0
10210,1988,2,1,17,7411508,305.89,11.78
10210,1988,2,1,18,6039045,309.04,18.31
10210,1988,2,1,19,9662746,324.35,23.06
10210,1988,2,1,20,10443146,317.88,15.67
10210,1988,2,1,21,10304863,325.02,11.74
10210,1988,2,1,22,5034686,328.59,9.9
10210,1988,2,1,23,2161868,340,0
10210,1988,2,2,-9,539599,110,0
10210,1988,2,2,4,1119521,120,0
10210,1988,2,2,5,132680118,152.36,18.46
10210,1988,2,2,6,27939297,181.07,19.47
10210,1988,2,2,7,479551743,186.68,22.58
10210,1988,2,2,8,84076478,213.07,32.75
10210,1988,2,2,9,35822867,253.2,42.18
10210,1988,2,2,10,8533589,292.25,21.3
10210,1988,2,2,11,17264728,299.34,42.99
10210,1988,2,2,12,21716454,324.98,18.75
10210,1988,2,2,13,16174334,335.59,25
10210,1988,2,2,14,29261509,334.51,24.3
10210,1988,2,2,15,20723761,326.79,18.44
